video_id,split,action,true_count,pred_count,abs_err,pred_periods_json,true_periods_json,candidate_count,accepted_count,mean_confidence,mean_var_norm,mean_flip_rate,mean_pause_rate,conf_phase,conf_r,conf_var,conf_flip,conf_pause,vote_k,status,method
stu10_43,test,push_up,17,15,2,"[[51,143],[143,250],[250,343],[343,437],[437,527],[527,618],[884,971],[971,1069],[1069,1156],[1156,1245],[1245,1348],[1348,1444],[1444,1533],[1533,1623],[1623,1724]]","[[4,106],[106,200],[200,287],[288,376],[376,471],[471,567],[567,664],[798,916],[916,1015],[1015,1106],[1106,1211],[1211,1304],[1304,1397],[1398,1482],[1482,1576],[1576,1668],[1668,1757]]",17,15,0.6206419595829744,1.577325869108448,0.15545352522723646,0.7484918934475425,0.7025709478617622,0.8339008595429215,0.21846399847552955,0.6438905247939868,0.19120566672595019,2,ok,proposed_phase_vote
stu10_48,test,push_up,5,3,2,"[[288,340],[340,391],[765,820]]","[[244,322],[322,368],[368,422],[738,798],[798,853]]",8,3,0.7087484890445346,1.6179235821289863,0.19683206583310006,0.6799876791237085,0.3635136534844397,0.8820957019925117,0.20750651950038082,0.5888070476000012,0.22954028365081922,2,ok,proposed_phase_vote
stu4_47,test,push_up,37,21,16,"[[103,128],[128,153],[180,207],[207,232],[259,285],[544,568],[595,622],[622,651],[651,680],[680,709],[709,739],[739,771],[771,803],[834,871],[871,908],[908,954],[954,994],[994,1058],[1366,1421],[1421,1483],[1483,1577]]","[[84,104],[105,132],[132,156],[156,187],[188,214],[215,241],[242,266],[267,292],[293,319],[321,343],[344,366],[368,396],[397,423],[424,452],[454,476],[476,502],[504,529],[531,556],[557,584],[587,607],[609,639],[642,663],[664,697],[698,724],[728,759],[759,787],[789,817],[818,850],[853,888],[889,935],[937,976],[979,1019],[1019,1096],[1324,1391],[1394,1436],[1440,1528],[1533,1623]]",52,21,0.6169263319158657,1.4121057475295165,0.15065267144156433,0.6475036762575043,0.3521218720322734,0.8194597349621546,0.2604309109216899,0.6831643661774534,0.2520273487126123,2,ok,proposed_phase_vote
stu5_62,test,squat,32,27,5,"[[92,122],[122,156],[156,189],[189,221],[221,255],[255,290],[290,325],[325,359],[359,394],[394,429],[459,496],[496,529],[529,568],[568,600],[600,639],[915,1013],[1013,1050],[1050,1082],[1082,1123],[1123,1160],[1160,1204],[1239,1280],[1280,1321],[1321,1362],[1362,1405],[1405,1447],[1493,1535]]","[[74,104],[104,134],[134,171],[171,204],[204,236],[236,268],[268,302],[302,337],[337,371],[371,407],[407,446],[446,479],[479,512],[512,546],[546,583],[583,619],[619,654],[654,990],[990,1027],[1027,1065],[1065,1101],[1101,1138],[1138,1181],[1181,1219],[1219,1258],[1258,1300],[1300,1343],[1343,1385],[1385,1425],[1425,1470],[1470,1510],[1510,1559]]",30,27,0.6530103136140469,1.0492473249680099,0.08657517440700589,0.6230652150534144,0.6526779630671753,0.8941640976402495,0.36587908004766495,0.8003256826115211,0.2588179318224122,2,ok,proposed_phase_vote
stu8_71,test,squat,4,3,1,"[[8,97],[97,174],[174,249]]","[[1,53],[53,128],[128,204],[204,288]]",3,3,0.6292695932026957,1.1026987567437536,0.12597346149977728,0.8616247007258243,0.7555926305879681,0.7770630915959676,0.342751454803743,0.7016171275192258,0.14964635299869689,2,ok,proposed_phase_vote
stu9_36,test,pull_up,11,9,2,"[[47,105],[105,169],[169,223],[279,343],[343,407],[407,461],[461,534],[534,581],[581,649]]","[[20,82],[82,144],[144,202],[202,261],[261,323],[323,387],[387,444],[444,504],[504,566],[566,631],[631,702]]",11,9,0.5545136912320469,1.343471878921901,0.20475328585824448,0.6346428351060222,0.562618420492478,0.7940789677880027,0.2698070162455898,0.5668534421935435,0.25096170126408385,2,ok,proposed_phase_vote
stu9_64,test,squat,14,13,1,"[[84,158],[158,234],[234,309],[309,379],[379,458],[458,548],[621,712],[712,795],[795,876],[876,965],[965,1049],[1049,1127],[1127,1204]]","[[61,126],[127,203],[203,273],[273,345],[345,426],[426,515],[515,594],[594,670],[670,761],[761,847],[847,927],[927,1008],[1008,1093],[1093,1169]]",15,13,0.5636677170373334,1.231593028956809,0.12894777987232853,0.7252428279272438,0.5203485638071464,0.833163693216112,0.29819596424765044,0.6954525485296265,0.21418021933675774,2,ok,proposed_phase_vote
test1454,test,pull_up,6,4,2,"[[2,21],[21,40],[40,62],[62,88]]","[[25,66],[66,109],[109,151],[151,199],[199,243],[243,286]]",13,4,0.6466997101855602,0.7501670099197051,0.059186822546680486,0.46504313998122043,0.3705039159686039,0.7941713684644455,0.4963281467161482,0.8609694221122072,0.41744002868260627,2,ok,proposed_phase_vote
train2508,test,pull_up,4,1,3,"[[206,276]]","[[41,90],[90,133],[133,241],[241,299]]",5,1,0.5933959780939158,1.2740420667768222,0.20578039301151432,0.599198309835317,0.2766249591492065,0.8533746361732483,0.285455671853142,0.571510650199849,0.2803669609237094,2,ok,proposed_phase_vote
val1244,test,squat,1,1,0,"[[85,117]]","[[5,109]]",3,1,0.5649977920496697,1.6947197510764367,0.19694397283531406,0.6266044061302681,0.20037355440809196,0.9187066290113661,0.1914528164500251,0.6010427737016474,0.2550080401936097,2,ok,proposed_phase_vote
